adm1,year,month,rainfall,date
Zamfara,2014,3,3.297390195,2014/3/1
Osun,2014,3,126.3613606,2014/3/1
Yobe,2014,3,0.42697476,2014/3/1
Benue,2014,3,63.42472989,2014/3/1
Niger,2014,3,22.76026049,2014/3/1
Kogi,2014,3,55.00978507,2014/3/1
Imo,2014,3,114.724881,2014/3/1
Adamawa,2014,3,22.38290456,2014/3/1
Jigawa,2014,3,0.86689665,2014/3/1
Taraba,2014,3,60.59728836,2014/3/1
Federal Capital Territory,2014,3,48.29390152,2014/3/1
Borno,2014,3,1.511295862,2014/3/1
Kaduna,2014,4,89.03202786,2014/4/1
Kwara,2014,4,95.22482741,2014/4/1
Sokoto,2014,4,8.075584619,2014/4/1
Akwa Ibom,2014,4,198.8486948,2014/4/1
Ebonyi,2014,4,131.6487646,2014/4/1
Ekiti,2014,4,105.2622451,2014/4/1
Kano,2014,4,25.89521893,2014/4/1
Katsina,2014,4,17.59189336,2014/4/1
Delta,2014,4,143.9236257,2014/4/1
Enugu,2014,4,118.5718986,2014/4/1
Edo,2014,4,127.7197336,2014/4/1
Oyo,2014,4,72.43957488,2014/4/1
Gombe,2014,4,34.05253685,2014/4/1
Rivers,2014,4,173.9039607,2014/4/1
Cross River,2014,4,165.3179236,2014/4/1
Ondo,2014,4,117.5172835,2014/4/1
Abia,2014,4,162.7817586,2014/4/1
Bayelsa,2014,4,173.8521749,2014/4/1
Lagos,2014,4,86.82079805,2014/4/1
Bauchi,2014,4,44.4144935,2014/4/1
Kebbi,2014,4,41.53870693,2014/4/1
Plateau,2014,4,85.11737811,2014/4/1
Nasarawa,2014,4,95.0918632,2014/4/1
Ogun,2014,4,75.73958586,2014/4/1
Anambra,2014,4,121.3671776,2014/4/1
Zamfara,2014,4,25.79751994,2014/4/1
Osun,2014,4,88.83260544,2014/4/1
Yobe,2014,4,6.362392147,2014/4/1
Benue,2014,4,95.24593932,2014/4/1
Niger,2014,4,91.61523938,2014/4/1
Kogi,2014,4,98.63566104,2014/4/1
Imo,2014,4,138.2154932,2014/4/1
Adamawa,2014,4,60.56017493,2014/4/1
Jigawa,2014,4,7.164314425,2014/4/1
Taraba,2014,4,111.6118994,2014/4/1
Federal Capital Territory,2014,4,107.6527576,2014/4/1
Borno,2014,4,11.53248172,2014/4/1
Kaduna,2014,5,140.853641,2014/5/1
Kwara,2014,5,184.2016301,2014/5/1
Sokoto,2014,5,60.4435119,2014/5/1
Akwa Ibom,2014,5,236.3921921,2014/5/1
Ebonyi,2014,5,276.0324513,2014/5/1
Ekiti,2014,5,199.9274613,2014/5/1
Kano,2014,5,63.13651587,2014/5/1
Katsina,2014,5,64.24708855,2014/5/1
Delta,2014,5,271.9586113,2014/5/1
Enugu,2014,5,275.1843636,2014/5/1
Edo,2014,5,230.4914939,2014/5/1
Oyo,2014,5,206.0099785,2014/5/1
Gombe,2014,5,83.42773866,2014/5/1
Rivers,2014,5,244.4842815,2014/5/1
Cross River,2014,5,266.5762762,2014/5/1
Ondo,2014,5,209.5231134,2014/5/1
Abia,2014,5,272.6113426,2014/5/1
Bayelsa,2014,5,293.9597304,2014/5/1
Lagos,2014,5,240.592209,2014/5/1
Bauchi,2014,5,73.78090862,2014/5/1
Kebbi,2014,5,104.467295,2014/5/1
Plateau,2014,5,130.5930089,2014/5/1
Nasarawa,2014,5,161.5902794,2014/5/1
Ogun,2014,5,209.7570309,2014/5/1
Anambra,2014,5,279.7742892,2014/5/1
Zamfara,2014,5,107.7339599,2014/5/1
Osun,2014,5,208.9428404,2014/5/1
Yobe,2014,5,23.79478555,2014/5/1
Benue,2014,5,184.5048279,2014/5/1
Niger,2014,5,152.0968812,2014/5/1
Kogi,2014,5,201.5689829,2014/5/1
Imo,2014,5,280.0829489,2014/5/1
Adamawa,2014,5,111.5761993,2014/5/1
Jigawa,2014,5,22.38934509,2014/5/1
Taraba,2014,5,172.2687631,2014/5/1
Federal Capital Territory,2014,5,184.0831984,2014/5/1
Borno,2014,5,45.73571649,2014/5/1
Kaduna,2014,6,158.1802445,2014/6/1
Kwara,2014,6,178.7909532,2014/6/1
Sokoto,2014,6,61.24397947,2014/6/1
Akwa Ibom,2014,6,335.6183971,2014/6/1
Ebonyi,2014,6,254.1149119,2014/6/1
Ekiti,2014,6,151.6071675,2014/6/1
Kano,2014,6,86.51011464,2014/6/1
Katsina,2014,6,73.11077167,2014/6/1
Delta,2014,6,261.2664985,2014/6/1
Enugu,2014,6,231.1947276,2014/6/1
Edo,2014,6,196.1878998,2014/6/1
Oyo,2014,6,162.6735686,2014/6/1
Gombe,2014,6,110.5852206,2014/6/1
Rivers,2014,6,357.4187649,2014/6/1
Cross River,2014,6,357.2107202,2014/6/1
Ondo,2014,6,206.1344056,2014/6/1
Abia,2014,6,256.6606358,2014/6/1
Bayelsa,2014,6,441.7755538,2014/6/1
Lagos,2014,6,308.8317391,2014/6/1
Bauchi,2014,6,118.7828798,2014/6/1
Kebbi,2014,6,101.0358088,2014/6/1
Plateau,2014,6,135.0866554,2014/6/1
Nasarawa,2014,6,153.2823354,2014/6/1
Ogun,2014,6,213.9319283,2014/6/1
Anambra,2014,6,243.7395359,2014/6/1
Zamfara,2014,6,88.20336971,2014/6/1
Osun,2014,6,174.9522237,2014/6/1
Yobe,2014,6,36.5576511,2014/6/1
Benue,2014,6,214.1612109,2014/6/1
Niger,2014,6,170.9736511,2014/6/1
Kogi,2014,6,172.3374399,2014/6/1
Imo,2014,6,284.4151863,2014/6/1
Adamawa,2014,6,125.5979505,2014/6/1
Jigawa,2014,6,50.12957718,2014/6/1
Taraba,2014,6,188.7204625,2014/6/1
Federal Capital Territory,2014,6,148.5089276,2014/6/1
Borno,2014,6,48.44203511,2014/6/1
Kaduna,2014,7,168.8050712,2014/7/1
Kwara,2014,7,123.8457226,2014/7/1
Sokoto,2014,7,185.1239153,2014/7/1
Akwa Ibom,2014,7,291.4565071,2014/7/1
Ebonyi,2014,7,208.5222431,2014/7/1
Ekiti,2014,7,178.1796563,2014/7/1
Kano,2014,7,180.2171718,2014/7/1
Katsina,2014,7,171.1431394,2014/7/1
Delta,2014,7,248.7968503,2014/7/1
Enugu,2014,7,199.8814811,2014/7/1
Edo,2014,7,201.4897947,2014/7/1
Oyo,2014,7,149.8807779,2014/7/1
Gombe,2014,7,175.0775786,2014/7/1
Rivers,2014,7,229.4835015,2014/7/1
Cross River,2014,7,275.4227103,2014/7/1
Ondo,2014,7,224.5249871,2014/7/1
Abia,2014,7,255.1989125,2014/7/1
Bayelsa,2014,7,235.4155982,2014/7/1
Lagos,2014,7,325.2531004,2014/7/1
Bauchi,2014,7,179.9416457,2014/7/1
Kebbi,2014,7,123.2678059,2014/7/1
Plateau,2014,7,195.0285122,2014/7/1
Nasarawa,2014,7,174.8694055,2014/7/1
Ogun,2014,7,210.4830049,2014/7/1
Anambra,2014,7,231.5038076,2014/7/1
Zamfara,2014,7,183.3670851,2014/7/1
Osun,2014,7,187.5746474,2014/7/1
Yobe,2014,7,115.5042498,2014/7/1
Benue,2014,7,148.9220834,2014/7/1
Niger,2014,7,108.8541728,2014/7/1
Kogi,2014,7,152.0887425,2014/7/1
Imo,2014,7,277.6591371,2014/7/1
Adamawa,2014,7,185.3135306,2014/7/1
Jigawa,2014,7,140.9508235,2014/7/1
Taraba,2014,7,221.5263223,2014/7/1
Federal Capital Territory,2014,7,129.1186888,2014/7/1
Borno,2014,7,106.7194416,2014/7/1
Kaduna,2014,8,315.8998982,2014/8/1
Kwara,2014,8,184.4097969,2014/8/1
Sokoto,2014,8,183.1917181,2014/8/1
Akwa Ibom,2014,8,256.9307113,2014/8/1
Ebonyi,2014,8,223.1982938,2014/8/1
Ekiti,2014,8,175.9957438,2014/8/1
Kano,2014,8,271.9534309,2014/8/1
Katsina,2014,8,244.7433835,2014/8/1
Delta,2014,8,261.8415952,2014/8/1
Enugu,2014,8,216.1682833,2014/8/1
Edo,2014,8,222.1535135,2014/8/1
Oyo,2014,8,148.9224036,2014/8/1
Gombe,2014,8,269.8353445,2014/8/1
Rivers,2014,8,223.9563793,2014/8/1
Cross River,2014,8,318.0361094,2014/8/1
Ondo,2014,8,226.9461661,2014/8/1
Abia,2014,8,250.0787499,2014/8/1
Bayelsa,2014,8,230.9802639,2014/8/1
Lagos,2014,8,162.8592112,2014/8/1
Bauchi,2014,8,283.319049,2014/8/1
Kebbi,2014,8,217.5842728,2014/8/1
Plateau,2014,8,263.4599579,2014/8/1
Nasarawa,2014,8,288.9542013,2014/8/1
Ogun,2014,8,159.6952509,2014/8/1
Anambra,2014,8,213.0708262,2014/8/1
Zamfara,2014,8,233.8612466,2014/8/1
Osun,2014,8,169.794007,2014/8/1
Yobe,2014,8,208.4955303,2014/8/1
Benue,2014,8,234.9430757,2014/8/1
Niger,2014,8,225.486859,2014/8/1
Kogi,2014,8,222.5131809,2014/8/1
Imo,2014,8,245.717444,2014/8/1
Adamawa,2014,8,248.80375,2014/8/1
Jigawa,2014,8,219.6403257,2014/8/1
Taraba,2014,8,271.0404313,2014/8/1
Federal Capital Territory,2014,8,303.9298874,2014/8/1
Borno,2014,8,212.8922915,2014/8/1
Kaduna,2014,9,244.3338905,2014/9/1
Kwara,2014,9,217.564465,2014/9/1
Sokoto,2014,9,111.0581735,2014/9/1
Akwa Ibom,2014,9,355.6231997,2014/9/1
Ebonyi,2014,9,281.1982911,2014/9/1
Ekiti,2014,9,244.9158303,2014/9/1
Kano,2014,9,170.6517988,2014/9/1
Katsina,2014,9,125.0198425,2014/9/1
Delta,2014,9,389.7934609,2014/9/1
Enugu,2014,9,266.0301053,2014/9/1
Edo,2014,9,292.6235756,2014/9/1
Oyo,2014,9,201.2598274,2014/9/1
Gombe,2014,9,145.9524214,2014/9/1
Rivers,2014,9,374.3340734,2014/9/1
Cross River,2014,9,337.9000519,2014/9/1
Ondo,2014,9,308.0688482,2014/9/1
Abia,2014,9,297.4038395,2014/9/1
Bayelsa,2014,9,429.9756804,2014/9/1
Lagos,2014,9,298.3903765,2014/9/1
Bauchi,2014,9,162.5636716,2014/9/1
Kebbi,2014,9,197.1626065,2014/9/1
Plateau,2014,9,186.9308346,2014/9/1
Nasarawa,2014,9,199.1074445,2014/9/1
Ogun,2014,9,276.6704384,2014/9/1
Anambra,2014,9,271.3170965,2014/9/1
Zamfara,2014,9,161.3438036,2014/9/1
Osun,2014,9,256.4658936,2014/9/1
Yobe,2014,9,63.08648617,2014/9/1
Benue,2014,9,275.9087799,2014/9/1
Niger,2014,9,252.1609497,2014/9/1
Kogi,2014,9,229.5855442,2014/9/1
Imo,2014,9,333.2778017,2014/9/1
Adamawa,2014,9,182.9251804,2014/9/1
Jigawa,2014,9,89.38651438,2014/9/1
Taraba,2014,9,298.2891327,2014/9/1
Federal Capital Territory,2014,9,160.4131058,2014/9/1
Borno,2014,9,77.11100116,2014/9/1
Kaduna,2014,10,79.12397654,2014/10/1
Kwara,2014,10,132.5480037,2014/10/1
Sokoto,2014,10,7.522747471,2014/10/1
Akwa Ibom,2014,10,297.7853396,2014/10/1
Ebonyi,2014,10,224.6900986,2014/10/1
Ekiti,2014,10,209.4424158,2014/10/1
Kano,2014,10,11.36463262,2014/10/1
Katsina,2014,10,6.972921105,2014/10/1
Delta,2014,10,270.9349677,2014/10/1
Enugu,2014,10,168.0991491,2014/10/1
Edo,2014,10,200.3263164,2014/10/1
Oyo,2014,10,215.0680047,2014/10/1
Gombe,2014,10,56.02739117,2014/10/1
Rivers,2014,10,257.6550341,2014/10/1
Cross River,2014,10,323.1711478,2014/10/1
Ondo,2014,10,216.8671221,2014/10/1
Abia,2014,10,225.7013987,2014/10/1
Bayelsa,2014,10,362.4955222,2014/10/1
Lagos,2014,10,213.8124925,2014/10/1
Bauchi,2014,10,27.41677415,2014/10/1
Kebbi,2014,10,19.78923757,2014/10/1
Plateau,2014,10,82.45940582,2014/10/1
Nasarawa,2014,10,133.4347581,2014/10/1
Ogun,2014,10,229.9452902,2014/10/1
Anambra,2014,10,188.1235147,2014/10/1
Zamfara,2014,10,15.58665681,2014/10/1
Osun,2014,10,274.8381165,2014/10/1
Yobe,2014,10,17.77140789,2014/10/1
Benue,2014,10,234.0390108,2014/10/1
Niger,2014,10,75.14535054,2014/10/1
Kogi,2014,10,136.693773,2014/10/1
Imo,2014,10,213.822123,2014/10/1
Adamawa,2014,10,102.7457077,2014/10/1
Jigawa,2014,10,12.1507083,2014/10/1
Taraba,2014,10,186.1266498,2014/10/1
Federal Capital Territory,2014,10,135.8337023,2014/10/1
Borno,2014,10,34.99215773,2014/10/1
Kaduna,2014,11,4.372261285,2014/11/1
Kwara,2014,11,10.20944517,2014/11/1
Sokoto,2014,11,0.471230099,2014/11/1
Akwa Ibom,2014,11,172.9827711,2014/11/1
Ebonyi,2014,11,45.96129537,2014/11/1
Ekiti,2014,11,32.62125224,2014/11/1
Kano,2014,11,0.838692941,2014/11/1
Katsina,2014,11,0.812597801,2014/11/1
Delta,2014,11,90.12314458,2014/11/1
Enugu,2014,11,29.96622417,2014/11/1
Edo,2014,11,50.22108842,2014/11/1
Oyo,2014,11,31.25480368,2014/11/1
Gombe,2014,11,2.099486455,2014/11/1
Rivers,2014,11,150.0072873,2014/11/1
Cross River,2014,11,116.0848802,2014/11/1
Ondo,2014,11,66.87578159,2014/11/1
Abia,2014,11,112.6242152,2014/11/1
Bayelsa,2014,11,182.8518861,2014/11/1
Lagos,2014,11,119.289242,2014/11/1
Bauchi,2014,11,2.427644108,2014/11/1
Kebbi,2014,11,1.127270763,2014/11/1
Plateau,2014,11,6.061354014,2014/11/1
Nasarawa,2014,11,10.12252437,2014/11/1
Ogun,2014,11,89.61651759,2014/11/1
Anambra,2014,11,42.41926248,2014/11/1
Zamfara,2014,11,0.929371543,2014/11/1
Osun,2014,11,65.37056177,2014/11/1
Yobe,2014,11,0.550626674,2014/11/1
Benue,2014,11,21.41192345,2014/11/1
Niger,2014,11,3.835817372,2014/11/1
Kogi,2014,11,14.33468089,2014/11/1
Imo,2014,11,71.12007644,2014/11/1
Adamawa,2014,11,4.690501895,2014/11/1
Jigawa,2014,11,0.578670597,2014/11/1
Taraba,2014,11,20.56878269,2014/11/1
Federal Capital Territory,2014,11,11.08815535,2014/11/1
Borno,2014,11,0.781702199,2014/11/1
Kaduna,2014,12,0.365523983,2014/12/1
Kwara,2014,12,4.02486576,2014/12/1
Sokoto,2014,12,0.021546687,2014/12/1
Akwa Ibom,2014,12,34.86243874,2014/12/1
Ebonyi,2014,12,8.537762181,2014/12/1
Ekiti,2014,12,6.782712792,2014/12/1
Kano,2014,12,0.100757037,2014/12/1
Katsina,2014,12,0.075852622,2014/12/1
Delta,2014,12,17.0940167,2014/12/1
Enugu,2014,12,8.817922015,2014/12/1
Edo,2014,12,12.86954666,2014/12/1
Oyo,2014,12,5.012374895,2014/12/1
Gombe,2014,12,0.121218213,2014/12/1
Rivers,2014,12,31.32234102,2014/12/1
Cross River,2014,12,17.27971178,2014/12/1
Ondo,2014,12,8.33582061,2014/12/1
Abia,2014,12,13.43846142,2014/12/1
Bayelsa,2014,12,34.76210443,2014/12/1
Lagos,2014,12,7.221792492,2014/12/1
Bauchi,2014,12,0.216417689,2014/12/1
Kebbi,2014,12,0.172505505,2014/12/1
Plateau,2014,12,0.7824413,2014/12/1
Nasarawa,2014,12,2.087343496,2014/12/1
Ogun,2014,12,7.568517745,2014/12/1
Anambra,2014,12,9.461519,2014/12/1
Zamfara,2014,12,0.058057731,2014/12/1
Osun,2014,12,5.728004205,2014/12/1
Yobe,2014,12,0.017669508,2014/12/1
Benue,2014,12,5.768111966,2014/12/1
Niger,2014,12,1.118902408,2014/12/1
Kogi,2014,12,7.02582748,2014/12/1
Imo,2014,12,12.14923167,2014/12/1
Adamawa,2014,12,0.543015888,2014/12/1
Jigawa,2014,12,0.03424664,2014/12/1
Taraba,2014,12,2.984115953,2014/12/1
Federal Capital Territory,2014,12,1.538158103,2014/12/1
Borno,2014,12,0.026982499,2014/12/1
Kaduna,2015,1,0.794430913,2015/1/1
Kwara,2015,1,3.341223348,2015/1/1
Sokoto,2015,1,0.004556496,2015/1/1
Akwa Ibom,2015,1,23.66450503,2015/1/1
Ebonyi,2015,1,8.991766537,2015/1/1
Ekiti,2015,1,6.319477809,2015/1/1
Kano,2015,1,0.277504016,2015/1/1
Katsina,2015,1,0.078126092,2015/1/1
Delta,2015,1,15.07647084,2015/1/1
Enugu,2015,1,8.611732724,2015/1/1
Edo,2015,1,7.611895265,2015/1/1
Oyo,2015,1,4.640029081,2015/1/1
Gombe,2015,1,0.23040613,2015/1/1
Rivers,2015,1,26.61424919,2015/1/1
Cross River,2015,1,13.18994166,2015/1/1
Ondo,2015,1,5.075757925,2015/1/1
Abia,2015,1,15.16134292,2015/1/1
Bayelsa,2015,1,25.35656731,2015/1/1
Lagos,2015,1,4.795915786,2015/1/1
Bauchi,2015,1,0.345423649,2015/1/1
Kebbi,2015,1,0.084772522,2015/1/1
Plateau,2015,1,0.943579016,2015/1/1
Nasarawa,2015,1,2.105866996,2015/1/1
Ogun,2015,1,6.211346585,2015/1/1
Anambra,2015,1,12.14392183,2015/1/1
Zamfara,2015,1,0.027925563,2015/1/1
Osun,2015,1,3.867591086,2015/1/1
Yobe,2015,1,0.013895046,2015/1/1
Benue,2015,1,5.535644993,2015/1/1
Niger,2015,1,0.81771744,2015/1/1
Kogi,2015,1,4.601046871,2015/1/1
Imo,2015,1,14.73510456,2015/1/1
Adamawa,2015,1,0.513835196,2015/1/1
Jigawa,2015,1,0.075878088,2015/1/1
Taraba,2015,1,2.029641497,2015/1/1
Federal Capital Territory,2015,1,1.768879212,2015/1/1
Borno,2015,1,0.014688048,2015/1/1
Kaduna,2015,2,2.718134573,2015/2/1
Kwara,2015,2,8.305353329,2015/2/1
Sokoto,2015,2,0.048738788,2015/2/1
Akwa Ibom,2015,2,102.7351982,2015/2/1
Ebonyi,2015,2,40.25264217,2015/2/1
Ekiti,2015,2,25.68953994,2015/2/1
Kano,2015,2,0.63143393,2015/2/1
Katsina,2015,2,0.267631436,2015/2/1
Delta,2015,2,57.20527777,2015/2/1
Enugu,2015,2,27.52045307,2015/2/1
Edo,2015,2,39.28897457,2015/2/1
Oyo,2015,2,16.99120669,2015/2/1
Gombe,2015,2,0.678044903,2015/2/1
Rivers,2015,2,97.99421934,2015/2/1
Cross River,2015,2,66.33616814,2015/2/1
Ondo,2015,2,41.08707416,2015/2/1
Abia,2015,2,71.86789507,2015/2/1
Bayelsa,2015,2,90.72426399,2015/2/1
Lagos,2015,2,37.3225775,2015/2/1
Bauchi,2015,2,1.147435357,2015/2/1
Kebbi,2015,2,0.573806313,2015/2/1
Plateau,2015,2,4.598910824,2015/2/1
Nasarawa,2015,2,9.629086286,2015/2/1
Ogun,2015,2,33.37351083,2015/2/1
Anambra,2015,2,32.96096935,2015/2/1
Zamfara,2015,2,0.378918289,2015/2/1
Osun,2015,2,34.9539685,2015/2/1
Yobe,2015,2,0.049528912,2015/2/1
Benue,2015,2,14.31488876,2015/2/1
Niger,2015,2,2.000342024,2015/2/1
Kogi,2015,2,12.89413349,2015/2/1
Imo,2015,2,55.2775984,2015/2/1
Adamawa,2015,2,0.900351154,2015/2/1
Jigawa,2015,2,0.214967463,2015/2/1
Taraba,2015,2,6.05368706,2015/2/1
Federal Capital Territory,2015,2,5.619622053,2015/2/1
Borno,2015,2,0.069834069,2015/2/1
Kaduna,2015,3,20.99315931,2015/3/1
Kwara,2015,3,63.0203333,2015/3/1
Sokoto,2015,3,0.756305849,2015/3/1
Akwa Ibom,2015,3,138.554503,2015/3/1
Ebonyi,2015,3,74.79110988,2015/3/1
Ekiti,2015,3,96.98953117,2015/3/1
Kano,2015,3,3.644868931,2015/3/1
Katsina,2015,3,3.029201547,2015/3/1
Delta,2015,3,144.48692,2015/3/1
Enugu,2015,3,51.66855956,2015/3/1
Edo,2015,3,132.3361003,2015/3/1
Oyo,2015,3,121.9580655,2015/3/1
Gombe,2015,3,4.383373672,2015/3/1
Rivers,2015,3,127.7867519,2015/3/1
Cross River,2015,3,111.8850145,2015/3/1
Ondo,2015,3,171.7923637,2015/3/1
Abia,2015,3,105.4894219,2015/3/1
Bayelsa,2015,3,157.1067049,2015/3/1
Lagos,2015,3,167.5992872,2015/3/1
Bauchi,2015,3,7.641282306,2015/3/1
Kebbi,2015,3,4.032713358,2015/3/1
Plateau,2015,3,32.98968633,2015/3/1
Nasarawa,2015,3,46.96770585,2015/3/1
Ogun,2015,3,174.2672992,2015/3/1
Anambra,2015,3,65.20058929,2015/3/1
Zamfara,2015,3,3.058633482,2015/3/1
Osun,2015,3,139.8442365,2015/3/1
Yobe,2015,3,0.394715886,2015/3/1
Benue,2015,3,40.86959897,2015/3/1
Niger,2015,3,20.12302341,2015/3/1
Kogi,2015,3,50.75975497,2015/3/1
Imo,2015,3,92.14478,2015/3/1
Adamawa,2015,3,11.11403855,2015/3/1
Jigawa,2015,3,0.761715778,2015/3/1
Taraba,2015,3,41.45489099,2015/3/1
Federal Capital Territory,2015,3,45.04186767,2015/3/1
Borno,2015,3,0.774919524,2015/3/1
Kaduna,2015,4,12.72942398,2015/4/1
Kwara,2015,4,28.27317741,2015/4/1
Sokoto,2015,4,2.593860511,2015/4/1
Akwa Ibom,2015,4,116.1445542,2015/4/1
Ebonyi,2015,4,66.71688949,2015/4/1
Ekiti,2015,4,60.34984116,2015/4/1
Kano,2015,4,4.509744395,2015/4/1
Katsina,2015,4,4.269066756,2015/4/1
Delta,2015,4,111.3283327,2015/4/1
Enugu,2015,4,60.6723386,2015/4/1
Edo,2015,4,82.56352754,2015/4/1
Oyo,2015,4,52.3036137,2015/4/1
Gombe,2015,4,8.889122344,2015/4/1
Rivers,2015,4,118.5831871,2015/4/1
Cross River,2015,4,88.14837409,2015/4/1
Ondo,2015,4,85.07856061,2015/4/1
Abia,2015,4,107.0645081,2015/4/1
Bayelsa,2015,4,137.726321,2015/4/1
Lagos,2015,4,60.46362072,2015/4/1
Bauchi,2015,4,7.647575123,2015/4/1
Kebbi,2015,4,6.024509114,2015/4/1
Plateau,2015,4,19.11112837,2015/4/1
Nasarawa,2015,4,27.340507,2015/4/1
Ogun,2015,4,70.62909708,2015/4/1
Anambra,2015,4,65.14620646,2015/4/1
Zamfara,2015,4,4.97694317,2015/4/1
Osun,2015,4,65.89067635,2015/4/1
Yobe,2015,4,3.018038921,2015/4/1
Benue,2015,4,39.69489003,2015/4/1
Niger,2015,4,12.62247146,2015/4/1
Kogi,2015,4,41.37042161,2015/4/1
Imo,2015,4,96.80237015,2015/4/1
Adamawa,2015,4,16.94988749,2015/4/1
Jigawa,2015,4,2.252684597,2015/4/1
Taraba,2015,4,36.13421118,2015/4/1
Federal Capital Territory,2015,4,26.2212048,2015/4/1
Borno,2015,4,4.896101903,2015/4/1
Kaduna,2015,5,106.2030038,2015/5/1
Kwara,2015,5,155.7422528,2015/5/1
Sokoto,2015,5,15.83169051,2015/5/1
Akwa Ibom,2015,5,232.2904432,2015/5/1
Ebonyi,2015,5,224.7167846,2015/5/1
Ekiti,2015,5,174.0889436,2015/5/1
